id_book,name
2077,"

توماس ترانسترومر
"
16798,"

گبریل برنستین
"
16798,"

گبریل برنستین
"
2062,"

ویل دورانت
"
2051,"

دیوید هیوم
"
2051,"

دیوید هیوم
"
2023,"

پیتر هاندکه
"
191,"

ویلیام فاکنر
"
16946,"

آیرا لوین
"
1986,"

ویلیام سامرست موآم
"
1986,"

ویلیام سامرست موآم
"
1986,"

ویلیام سامرست موآم
"
1986,"

ویلیام سامرست موآم
"
16799,"

رافائل ژیوردانو
"
1985,"

اریک فروم
"
1977,"

آمور تولز
"
1922,"

جان گریشام
"
84,"

خالد حسینی
"
84,"

خالد حسینی
"
84,"

خالد حسینی
"
84,"

خالد حسینی
"
84,"

خالد حسینی
"
84,"

خالد حسینی
"
84,"

خالد حسینی
"
84,"

خالد حسینی
"
84,"

خالد حسینی
"
84,"

خالد حسینی
"
84,"

خالد حسینی
"
16810,"

کریستین هانا
"
1915,"

پیتر مونتویا
"
1915,"

تیم وندیهی
"
43,"

استیو تولتز
"
43,"

استیو تولتز
"
43,"

استیو تولتز
"
43,"

استیو تولتز
"
1885,"

ریچارد اچ تیلر 
"
1885,"

ریچارد اچ تیلر 
"
1885,"

ریچارد اچ تیلر 
"
17472,"

سیامک گلشیری
"
17515,"

الوین تافلر
"
1881,"

میخائیل بولگاکف
"
1881,"

میخائیل بولگاکف
"
17454,"

آسترا تایلر
"
1860,"

لی چایلد
"
17453,"
ویلیام براون
"
16943,"

مریم ریاحی
"
1844,"

جان اشتاین بک
"
1844,"

جان اشتاین بک
"
1844,"

جان اشتاین بک
"
17448,"

مجموعه ی نویسندگان
"
17718,"

مریسا مایر
"
17718,"

مریسا مایر
"
17431,"

افلاطون
"
17478,"

تری ایگلتون
"
17090,"

رودولف اوتو
"
5173,"

مجموعه ی نویسندگان
"
17717,"

مریسا مایر
"
17717,"

مریسا مایر
"
17421,"

خوزه دلاکولینا
"
5700,"

ایوان تورگنیف
"
5000,"

نایجل واربرتون
"
17697,"

احمد ابومحبوب
"
17332,"

جولی کاگاوا
"
17332,"

جولی کاگاوا
"
16988,"

فرید الدین عطار نیشابوری
"
16988,"

فرید الدین عطار نیشابوری
"
16988,"

فرید الدین عطار نیشابوری
"
16988,"

فرید الدین عطار نیشابوری
"
16988,"

فرید الدین عطار نیشابوری
"
16898,"

بهمن کیارستمی
"
5687,"

اوریانا فالاچی
"
5687,"

اوریانا فالاچی
"
17489,"
صحرا اکرامی
"
4911,"

عبدالحسین زرین کوب
"
4911,"

عبدالحسین زرین کوب
"
17690,"
علی شروقی
"
17331,"

جولی کاگاوا
"
17331,"

جولی کاگاوا
"
5647,"

امید صباغ نو
"
4844,"

مهدی اخوان ثالث
"
