id_book,name
2077.0,"

بابک زمانی


"
16798.0,"

محمد مهدی قاسم لو


"
16798.0,"

مهدی قراچه داغی


"
2062.0,"
حسین کامیاب

"
2051.0,"

حمید اسکندری


"
2051.0,"
رسول رسولی پور

"
2023.0,"
فرخ معینی

"
191.0,"

نجف دریابندری


"
16946.0,"

محمد قائد


"
1986.0,"

مهرداد نبیلی


"
1986.0,"

شهرزاد بیات موحد


"
1986.0,"

مهرداد نبیلی


"
1986.0,"

مهرداد نبیلی


"
16799.0,"

معصومه خطیبی بایگی


"
1985.0,"

پروین قائمی


"
1977.0,"

مصطفی احمدی


"
1922.0,"

محمد قصاع


"
84.0,"

مهدی غبرایی


"
84.0,"

پریسا سلیمان زاده



زیبا گنجی


"
84.0,"

نیلوفر امن زاده


"
84.0,"

آرا جواهری


"
84.0,"
محمدامین فقیه

"
84.0,"

کیومرث عاقلان


"
84.0,"

سمیرا احمدی


"
84.0,"

کیمیا مرادقلی


"
84.0,"
غلامرضا اسکندری

"
84.0,"

علیرضا کورش لی


"
84.0,"

سمیرا احمدی


"
16810.0,"

منیژه جلالی


"
1915.0,"

سامان شاهین پور


"
43.0,"

پیمان خاکسار


"
43.0,"

پیمان خاکسار


"
43.0,"

گلناز سهرابی


"
43.0,"

گلناز سهرابی


"
1885.0,"

بهنام شهائی


"
1885.0,"
علیرضا فندرسکی

صدیقه مومن

"
1885.0,"

امیرحسین میرابوطالبی


"
17472.0,
17515.0,"

شهین دخت خوارزمی


"
1881.0,"

احمد پوری


"
1881.0,"

فهیمه توزنده جانی


"
17454.0,"

شهاب الدین عباسی


"
1860.0,"

محمد عباس آبادی


"
17453.0,"

اکرم ورشوچی فرد



پیام زین العابدینی


"
16943.0,
1844.0,"

محمدرضا پورجعفری


"
1844.0,"

محمدرضا پورجعفری


"
1844.0,"

مرضیه خسروی


"
17448.0,"

احمد اخوت


"
17718.0,"

مهنام عبادی


"
17718.0,"

بهاره تقوی رمضانی


"
17431.0,"

محمدحسن لطفی


"
17478.0,"

عباس مخبر


"
17090.0,"

انشاالله رحمتی


"
5173.0,"

قاسم صنعوی


"
17717.0,"

مهنام عبادی


"
17717.0,"

بهاره تقوی رمضانی


"
17421.0,"

سیمین زرگران


"
5700.0,"

آبتین گلکار


"
5000.0,"

مهدی خسروانی


"
17697.0,
17332.0,"

یاسمن میرزاپور


"
17332.0,"

نجلا محقق


"
16988.0,
16988.0,
16988.0,
16988.0,
16988.0,
16898.0,
5687.0,"
مجید بیدار نریمان

"
5687.0,"

غلامرضا امامی


نصیرالسادات سلامی

"
17489.0,
4911.0,
4911.0,
17690.0,
17331.0,"

یاسمن میرزاپور


"
17331.0,"

نجلا محقق


"
5647.0,
4844.0,
17651.0,
17330.0,"

یاسمن میرزاپور


"
17330.0,"

نجلا محقق


"
5599.0,"

مسعود لعلی


"
4834.0,"

پیام یزدانجو


"
17649.0,
17329.0,"

یاسمن میرزاپور


"
17329.0,"

نجلا محقق


"
16866.0,
16809.0,"

فرنوش جزینی


"
16809.0,"

مسعود اسدی


"
16832.0,"

پیمان خاکسار


"
16803.0,"

سارا پیرعلی


"
5498.0,"

عباس زارعی


"
5498.0,"

ژان بقوسیان



بنفشه عطرسائی


"
5498.0,"
محمدحسن ارجاعی

"
4781.0,
17644.0,
17300.0,"

مجتبی ویسی


"
17490.0,"

رضا اسکندری


"
5484.0,"

سحر عزتی


"
5484.0,"

علی اکبر طورانیان


"
5484.0,"

بنفشه عطرسائی



ژان بقوسیان


"
5484.0,"

صالح سپهری فر


"
5484.0,"

مهدی قراچه داغی


"
17499.0,"

شروین شهامی پور


"
4760.0,
17643.0,
17287.0,"

شهاب الدین عباسی


"
16925.0,
5424.0,
2162.0,"

مهین میلانی


"
17638.0,
17252.0,"

کوروش سلیم زاده


"
16805.0,"
رضا دلیر

"
5299.0,
16860.0,"

کاظم فرهادی



فرهاد خردمند


"
2160.0,"

افشین خاکباز


"
17610.0,
17241.0,"

هدا نژادحسینیان


"
5263.0,"

پرویز شهدی


"
5263.0,"

سوفیا مسافر


"
2143.0,"

فرشته شایان


"
2143.0,"

سودابه قیصری


"
2143.0,"

سارا حسینی معینی


"
2143.0,"

بامداد بهنام


"
2143.0,"

نهال سهیلی فر


"
17599.0,"

رضی هیرمندی


"
17190.0,"
پوپک محبعلی

"
17190.0,"

اکرم پدرام نیا


"
16929.0,
17061.0,"

عباس پژمان


"
5225.0,
16890.0,"

عباس کیارستمی


"
2139.0,"

نیما حضرتی


"
17597.0,
17137.0,"

آزاده حسنی


"
5220.0,
2136.0,"

حمیدرضا بلندسران


"
2136.0,"

سیمین تاجدینی


"
17591.0,"

رضی هیرمندی


"
17125.0,"

ریحانه حسنوی


"
17125.0,"

پروین علی پور


"
17568.0,"

حسین ابویسانی


امید پورحسن

"
17587.0,"

رضی هیرمندی


"
17062.0,"

قاسم صنعوی


"
5217.0,
2118.0,"

حمید سمندریان


"
2118.0,"

مجید امین موید


"
17119.0,
5216.0,
2078.0,"

مرتضی ثقفیان


"
16814.0,
17109.0,
16862.0,"

کاظم فرهادی



فرهاد خردمند


"
16862.0,"

مژگان صبور


"
132.0,"

ویدا اسلامیه


"
133.0,"

تهمینه زاردشت


"
133.0,"

عین له غریب


"
146.0,"

حسین سلیمانی نژاد


"
146.0,"

مهسا ابهری


"
198.0,"

عین له غریب


"
198.0,"

مژده الفت


"
198.0,"

جواد شاهدی


"
223.0,"

عبدالله کوثری


"
242.0,"

رضا سیدحسینی



عبدالله توکل


"
242.0,"

عبدالحسین شریفیان


"
273.0,"

حسن نقره چی


"
281.0,"

صفدر تقی زاده 



محمد علی صفریان


"
300.0,"

پرویز داریوش


"
300.0,"

شهناز مجیدی


"
300.0,"

پرویز شهدی


"
300.0,"

پرویز داریوش


"
302.0,"

علیرضا فرهمند


"
344.0,"

امیرمهدی عاطفی نیا


"
344.0,"

امیرمهدی عاطفی نیا


"
344.0,"

امیرمهدی عاطفی نیا



محمدرضا قاسمی


"
344.0,"

محمدرضا قاسمی



امیرمهدی عاطفی نیا


"
358.0,"

حسین تهرانی


"
380.0,"

حسین سلیمانی نژاد


"
380.0,"
محمود جزایری

"
380.0,"
منوچهر کیا

"
398.0,"

کیوان عبیدی آشتیانی


"
415.0,"

منوچهر آتشی


"
415.0,"
نسیم سلطان زاده

"
5735.0,"

لیلا عظیمی


"
5764.0,
5764.0,"

منوچهر انور


"
5778.0,
5807.0,
5833.0,
5834.0,
396.0,"

حسن هنرمندی


"
396.0,"

حسن هنرمندی


"
5841.0,
202.0,"

مهدی نوید


"
202.0,"

سهیل سمی


"
202.0,"

وحید منوچهری واحد


"
5850.0,
6121.0,
6146.0,"

گیتی خوشدل


"
6148.0,"

مینا اعظامی


"
6148.0,"

مینا اعظامی


"
5860.0,
6077.0,"

کیوان سپانلو



لادن گنجی


"
5924.0,
6009.0,
1476.0,"

حسین شهرابی


"
6198.0,
5863.0,
1350.0,"

دینا کاویانی


"
1370.0,"

گیتا گرکانی


"
1370.0,"

مریم صالحی



مهدی آذری


"
5900.0,"

سعیده بوغیری


"
1502.0,
1502.0,
1496.0,"

لیلا سازگار


"
1496.0,"
مهوش بهنام

"
1355.0,"

سید حسن رضوی


"
1355.0,"

مریم تقدیسی


"
1355.0,"

زهرا باختری


"
1355.0,"

شقایق نظرزاده


"
1355.0,"

مهدی نمازیان


"
1355.0,"

فاطمه قربانپور


"
5878.0,"

آریا نوری


"
